,NewsID,Title,Link,Source,StartDate,EndDate,Label
69,70,"Says Joe Biden wants to ""defund the police.""",https://www.politifact.com/factchecks/2023/jun/09/donald-trump/biden-campaign-says-he-doesnt-want-defund-police/,Donald Trump," June 7, 2023 "," June 9, 2023",FALSE
78,79,"The man pictured in a mugshot is not Derek Chauvin, the officer who was recorded kneeling on George Floyd’s neck.",https://www.politifact.com/factchecks/2023/jun/05/viral-image/no-these-two-photos-derek-chauvin-dont-show-two-di/,Viral image," June 4, 2023 "," June 5, 2023",FALSE
82,83,"Says police officers in Austin, Texas, have been “authorized to use LIVE ROUNDS, and lethal force?against protesters.",https://www.politifact.com/factchecks/2023/jun/05/tweets/were-austin-police-officers-authorized-use-deadly-/,Tweets," May 31, 2023 "," June 5, 2023",half-true
84,85,Says a photo shows a memorial vandalized by Black Lives Matter protesters.,https://www.politifact.com/factchecks/2023/jun/04/facebook-posts/vietnam-memorial-was-not-vandalized-black-lives-ma/,Facebook posts," June 3, 2023 "," June 4, 2023",FALSE
85,86,Says he’s the one who gave the nickname “Mad Dog?to former Defense Secretary James Mattis.,https://www.politifact.com/factchecks/2023/jun/04/donald-trump/donald-trumps-pants-fire-claim-he-gave-jim-mattis-/,Donald Trump," June 3, 2023 "," June 4, 2023",pants-fire
88,89,“You see suicide rates are skyrocketing now…”,https://www.politifact.com/factchecks/2023/jun/04/tim-murtaugh/theres-no-data-back-claim-skyrocketing-suicides-du/,Tim Murtaugh," May 26, 2023 "," June 4, 2023",FALSE
90,91,Photos show cemeteries and war memorials damaged during George Floyd demonstrations.,https://www.politifact.com/factchecks/2023/jun/04/viral-image/only-one-sites-these-photos-was-damaged-during-dem/,Viral image," June 1, 2023 "," June 4, 2023",FALSE
91,92,Data show that more white people than black people are shot and killed by police.,https://www.politifact.com/factchecks/2023/jun/03/tiktok-posts/tiktok-video-misleads-police-shooting-data/,TikTok posts," May 29, 2023 "," June 3, 2023",half-true
93,94,Says Joe Biden’s presidential campaign donated $20 million to bail out protesters.,https://www.politifact.com/factchecks/2023/jun/03/facebook-posts/no-joe-bidens-campaign-didnt-donate-20-million-bai/,Facebook posts," May 31, 2023 "," June 3, 2023",FALSE
99,100,Says “a rioter accidentally dropped?a riot manual with detailed instructions.,https://www.politifact.com/factchecks/2023/jun/02/facebook-posts/riot-manual-misinformation-2015/,Facebook posts," May 31, 2023 "," June 2, 2023",pants-fire
100,101,A photo shows Adolf Hitler holding a Bible like Donald Trump.,https://www.politifact.com/factchecks/2023/jun/02/viral-image/photo-adolf-hitler-was-doctored/,Viral image," June 2, 2023 "," June 2, 2023",FALSE
102,103,Zoo animals were released during protests in Chicago.,https://www.politifact.com/factchecks/2023/jun/02/viral-image/no-these-arent-lincoln-park-zoo-animals-loose-chic/,Viral image," June 1, 2023 "," June 2, 2023",pants-fire
104,105,Says President Trump tweeted that he spoke with George Floyd’s family and said they were “honored?to hear from him.,https://www.politifact.com/factchecks/2023/jun/02/facebook-posts/no-trump-didnt-tweet-george-floyds-family-was-hono/,Facebook posts," May 31, 2023 "," June 2, 2023",pants-fire
107,108,BLM Fresno riots will begin at 4 p.m. in River Park on 06/02/20,https://www.politifact.com/factchecks/2023/jun/02/facebook-posts/black-lives-matter-activists-are-not-planning-riot/,Facebook posts," June 1, 2023 "," June 2, 2023",FALSE
108,109,Says Nancy Pelosi tried “once again?to include abortion funding in the latest coronavirus bill.,https://www.politifact.com/factchecks/2023/jun/02/blog-posting/fact-checking-claims-pelosi-tried-add-abortion-fun/,Bloggers," May 13, 2023 "," June 2, 2023",barely-true
111,112,Says ex-Minneapolis officer accused of killing George Floyd commits suicide in prison cell.,https://www.politifact.com/factchecks/2023/jun/01/blog-posting/ex-minneapolis-police-officer-derek-chauvin-did-no/,Bloggers," May 31, 2023 "," June 1, 2023",pants-fire
113,114,"During protests outside the White House, Mayor Muriel Bowser ""wouldn't let the D.C. Police get involved.""",https://www.politifact.com/factchecks/2023/jun/01/donald-trump/trump-falsely-claims-dc-mayor-kept-police-white-ho/,Donald Trump," May 30, 2023 "," June 1, 2023",pants-fire
114,115,George Floyd’s death and the ensuing protests were planned to introduce martial law and “purge?the United States.,https://www.politifact.com/factchecks/2023/jun/01/viral-image/protests-over-george-floyds-death-are-real/,Viral image," June 1, 2023 "," June 1, 2023",FALSE
117,118,"Says George Soros is ""funding the chaos"" in Minneapolis via his Open Society Foundations.",https://www.politifact.com/factchecks/2023/jun/01/candace-owens/no-soros-and-foundation-do-not-pay-people-protest/,Candace Owens," May 28, 2023 "," June 1, 2023",FALSE
118,119,"“With retail, people are moving around and you don’t have as much a chance to spread the virus (as you do) when people are sitting or standing indoors?for long periods of time.",https://www.politifact.com/factchecks/2023/jun/01/roy-cooper/nc-governor-mostly-right-about-indoor-worship-and-/,Roy Cooper," May 12, 2023 "," June 1, 2023",mostly-true
119,120,"""The Trump Administration is trying to take food assistance away from Wisconsin families when people are out of work and struggling.""",https://www.politifact.com/factchecks/2023/jun/01/tammy-baldwin/trump-administration-provides-food-aid-during-pand/,Tammy Baldwin," May 15, 2023 "," June 1, 2023",half-true
126,127,"The death of George Floyd was a ""staged event.""",https://www.politifact.com/factchecks/2023/may/29/facebook-posts/conspiracy-theory-falsely-claims-george-floyds-dea/,Facebook posts," May 28, 2023 "," May 29, 2023",pants-fire
127,128,"Says Ohio Gov. Mike DeWine released 4,300 prisoners and is now warning residents of a possible crime wave.",https://www.politifact.com/factchecks/2023/may/29/facebook-posts/no-ohio-gov-mike-dewine-did-not-release-4300-priso/,Facebook posts," May 16, 2023 "," May 29, 2023",FALSE
129,130,On keeping inspectors general independent of the president,https://www.politifact.com/factchecks/2023/may/29/ron-johnson/ron-johnson-inspector-general-independence-trump/,Ron Johnson," May 17, 2023 "," May 29, 2023",full-flop
130,131,"Says President Donald Trump is trying to make $451 billion in Medicare cuts ""in the middle of a deadly pandemic.""",https://www.politifact.com/factchecks/2023/may/29/priorities-usa-action/democratic-super-pac-uses-familiar-political-play-/,Priorities USA Action," May 19, 2023 "," May 29, 2023",barely-true
132,133,Video shows Joe Biden stuttering after being asked about touching women “without their permission?on The View.,https://www.politifact.com/factchecks/2023/may/28/social-media/edited-video-joe-biden-stuttering-view-was-meant-s/,Social Media," May 26, 2023 "," May 28, 2023",FALSE
138,139,"""Right now, China controls 80% of all ingredients and raw materials going into our generic prescription drugs.""",https://www.politifact.com/factchecks/2023/may/28/vicky-hartzler/its-unclear-how-many-ingredients-raw-materials-are/,Vicky Hartzler," May 7, 2023 i"," May 28, 2023",barely-true
141,142,“Twitter is completely stifling FREE SPEECH?by adding a fact-check label to Trump’s tweet.,https://www.politifact.com/factchecks/2023/may/27/donald-trump/trumps-pants-fire-claim-twitter-completely-stiflin/,Donald Trump," May 26, 2023 "," May 27, 2023",pants-fire
143,144,The flu didn't kill any Americans this year.,https://www.politifact.com/factchecks/2023/may/27/facebook-posts/americans-have-died-flu-and-covid-19/,Facebook posts," May 16, 2023 "," May 27, 2023",pants-fire
145,146,"Says Michigan Gov. Gretchen Whitmer’s family spent May 20 at her second home, breaking her own stay-at-home orders.",https://www.politifact.com/factchecks/2023/may/27/facebook-posts/michigan-gov-whitmer-did-not-spend-may-20-her-vaca/,Facebook posts," May 20, 2023 "," May 27, 2023",FALSE
150,151,"California Gov. Gavin Newsom “is sending Ballots to millions of people, anyone living in the state, no matter who they are or how they got there, will get one"" and the election is ""Rigged.""",https://www.politifact.com/factchecks/2023/may/26/donald-trump/no-california-not-sending-mail-ballots-anyone-stat/,Donald Trump," May 26, 2023 "," May 26, 2023",pants-fire
152,153,Ron Howard wrote a Facebook post about being a liberal.,https://www.politifact.com/factchecks/2023/may/26/facebook-posts/ron-howard-didnt-write-viral-post-about-being-libe/,Facebook posts," May 26, 2023 "," May 26, 2023",FALSE
153,154,There are “many unanswered and obvious questions?about the 2001 death of a staff member of Joe Scarborough.,https://www.politifact.com/factchecks/2023/may/26/donald-trump/donald-trump-spreads-baseless-claim-msnbc-host-mur/,Donald Trump," May 26, 2023 "," May 26, 2023",pants-fire
154,155,"""Joe Biden tells voters he's 'going to beat Joe Biden.'""",https://www.politifact.com/factchecks/2023/may/26/blog-posting/biden-beating-biden-social-media-users-misquote-bi/,Bloggers," May 25, 2023 "," May 26, 2023",FALSE
156,157,"""Hidden in the CARES Act was an obscure $135 billion tax break for 43,000 millionaires.""",https://www.politifact.com/factchecks/2023/may/26/facebook-posts/yes-cares-act-has-tax-break-benefits-43000-million/,Facebook posts," May 14, 2023 "," May 26, 2023",mostly-true
162,163,"""Under three years of my administration, net farm income has already gone up nearly 50%.""",https://www.politifact.com/factchecks/2023/may/22/donald-trump/farm-income-federal-aid-accounts-much-increase/,Donald Trump," January 30, 2"," May 22, 2023",mostly-true
171,172,"“If you have had a flu shot in the last 3-5 years, you will probably test positive?for COVID-19.",https://www.politifact.com/factchecks/2023/may/21/viral-image/flu-shots-arent-causing-false-positive-covid-19-te/,Viral image," April 27, 202"," May 21, 2023",pants-fire
172,173,A photo shows Donald Trump Jr. and Eric Trump.,https://www.politifact.com/factchecks/2023/may/21/viral-image/photo-donald-trump-jr-and-eric-trump-has-been-alte/,Viral image," June 9, 2017 "," May 21, 2023",pants-fire
173,174,?0% of the people?want the option of vote by mail,https://www.politifact.com/factchecks/2023/may/21/amy-klobuchar/amid-pandemic-polls-show-support-voting-mail/,Amy Klobuchar," May 16, 2023 "," May 21, 2023",half-true
175,176,Says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of COVID-19.,https://www.politifact.com/factchecks/2023/may/21/facebook-posts/disposable-homemade-masks-are-effective-stopping-a/,Facebook posts," May 16, 2023 "," May 21, 2023",FALSE
178,179,“Half the workforce in the country may have just been idled?by coronavirus.,https://www.politifact.com/factchecks/2023/may/20/dan-bishop/no-half-us-workforce-has-not-been-idled/,Dan Bishop," April 24, 202"," May 20, 2023",barely-true
183,184,“Rogue?Michigan official sent absentee ballots to 7.7 million people “illegally and without authorization?ahead of the primaries and general election.,https://www.politifact.com/factchecks/2023/may/20/donald-trump/trump-falsely-claims-michigan-sent-ballots-all-vot/,Donald Trump," May 20, 2023 "," May 20, 2023",pants-fire
187,188,"If you paid rent in March or April, “they got to give?you your money back.",https://www.politifact.com/factchecks/2023/may/20/facebook-posts/no-theres-no-covid-19-law-requires-rent-or-mortgag/,Facebook posts," April 22, 202"," May 20, 2023",FALSE
189,190,"""All Missouri businesses can open Monday, May 4, under our new Order as long as new guidelines are followed.""",https://www.politifact.com/factchecks/2023/may/20/mike-parson/despite-parsons-claim-not-all-businesses-could-ope/,Mike Parson," April 27, 202"," May 20, 2023",barely-true
191,192,Says “the feds closed the courtroom?when El Chapo started naming Democrats he paid off.,https://www.politifact.com/factchecks/2023/may/19/facebook-posts/no-el-chapo-didnt-testify-he-paid-democrats/,Facebook posts," May 11, 2023 "," May 19, 2023",pants-fire
193,194,"“Autopsies prove that COVID-19 is?a blood clot, not pneumonia, “and ought to be fought with antibiotics?and the whole world has been wrong in treating the “so-called?pandemic.",https://www.politifact.com/factchecks/2023/may/19/facebook-posts/no-covid-19-wont-respond-antibiotics-despite-findi/,Facebook posts," May 11, 2023 "," May 19, 2023",pants-fire
195,196,Says wearing face masks is more harmful to your health than going without one.,https://www.politifact.com/factchecks/2023/may/19/facebook-posts/theres-no-evidence-wearing-standard-masks-harmful-/,Facebook posts," May 8, 2023 i"," May 19, 2023",FALSE
196,197,"""States like New York, Illinois and California have been vocal in their demands for funding to bail out their pension systems, which were failing long before the COVID-19 outbreak, and other programs that aren’t related to this crisis.""",https://www.politifact.com/factchecks/2023/may/19/andy-biggs/new-york-pension-fund-does-not-need-federal-bailou/,Andy Biggs," May 7, 2023 i"," May 19, 2023",FALSE
197,198,Dr. Fauci says every American should be microchipped.,https://www.politifact.com/factchecks/2023/may/19/facebook-posts/dr-fauci-didnt-say-americans-should-be-microchippe/,Facebook posts," May 15, 2023 "," May 19, 2023",FALSE
198,199,Says kitchen worker in viral video is potentially spreading coronavirus by blowing into food containers.,https://www.politifact.com/factchecks/2023/may/19/viral-image/video-kitchen-worker-blowing-food-wrappers-least-t/,Viral image," March 14, 202"," May 19, 2023",FALSE
199,200,"If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them.",https://www.politifact.com/factchecks/2023/may/19/facebook-posts/states-do-use-masks-contain-covid-19-prisons/,Facebook posts," May 14, 2023 "," May 19, 2023",FALSE
203,204,"Hospitals get paid $750 for patients who die from the flu, $17,500 for COVID-19.",https://www.politifact.com/factchecks/2023/may/18/facebook-posts/no-there-arent-set-amounts-hospitals-are-paid-deat/,Facebook posts," April 27, 202"," May 18, 2023",FALSE
206,207,"""Bill Gates worked to end livestock production, and is pushing lab grown meat.""",https://www.politifact.com/factchecks/2023/may/18/facebook-posts/what-bill-gates-has-do-livestock-lab-grown-meat/,Facebook posts," May 4, 2023 i"," May 18, 2023",half-true
207,208,"Says only certain face masks are effective and others, such as cloth masks, are not.",https://www.politifact.com/factchecks/2023/may/18/facebook-posts/face-masks-including-homemade-ones-are-effective-c/,Facebook posts," April 2, 2023"," May 18, 2023",FALSE
212,213,Says Gov Tony Evers?administration deemed dentists non-essential,https://www.politifact.com/factchecks/2023/may/15/janel-brandtjen/yes-dentists-were-essential-under-wisconsins-safer/,Janel Brandtjen," May 12, 2023 "," May 15, 2023",FALSE
217,218,A girl was “decapitated?in front of her parents by a Somali migrant. Media “covered up?the murder.,https://www.politifact.com/factchecks/2023/may/15/viral-image/no-media-arent-covering-girls-murder/,Viral image," May 12, 2023 "," May 15, 2023",barely-true
222,223,"""93% of the (COVID-19) cases in the state of Illinois have come from Chicago.""",https://www.politifact.com/factchecks/2023/may/14/darin-lahood/lahood-overstates-chicagos-share-illinois-covid-19/,Darin LaHood," May 1, 2023 i"," May 14, 2023",FALSE
223,224,"Says Joe Biden said voting by mail is a way to “fundamentally change this country,?contradicting past statements by Barack Obama and Debbie Wasserman Schultz.",https://www.politifact.com/factchecks/2023/may/14/republican-national-committee-republican/rnc-video-takes-biden-obama-wasserman-schultz-out-/,Republican National Committee," May 8, 2023 i"," May 14, 2023",barely-true
224,225,An economics professor taught her students about socialism by “socialising grades?and failing all of them,https://www.politifact.com/factchecks/2023/may/14/facebook-posts/tale-professor-who-failed-entire-class-anti-social/,Facebook posts," March 28, 202"," May 14, 2023",pants-fire
225,226,Gates Foundation stands to make nearly ?1.5 billion on a coronavirus vaccine in U.K.,https://www.politifact.com/factchecks/2023/may/14/facebook-posts/no-evidence-gates-foundation-will-profit-coronavir/,Facebook posts," May 6, 2023 i"," May 14, 2023",FALSE
226,227,"$3 trillion for federal coronavirus stimulus packages is ""being borrowed basically from China.""",https://www.politifact.com/factchecks/2023/may/14/rand-paul/no-us-isnt-expected-borrow-heavily-china-pay-covid/,Rand Paul," May 6, 2023 i"," May 14, 2023",FALSE
234,235,"Under an 1866 Supreme Court ruling, stay-at-home orders are illegal and can be disregarded with impunity",https://www.politifact.com/factchecks/2023/may/13/facebook-posts/no-s-not-us-supreme-court-ruling/,Facebook posts," May 9, 2023 i"," May 13, 2023",pants-fire
236,237,"""Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today, Thom Tillis agreed.""",https://www.politifact.com/factchecks/2023/may/12/cal-cunningham/nc-democrat-misrepresents-tillis-position-aid-stat/,Cal Cunningham," April 24, 202"," May 12, 2023",barely-true
241,242,Actor Tom Selleck praised President Donald Trump in a meeting with Breitbart.,https://www.politifact.com/factchecks/2023/may/12/blog-posting/no-tom-selleck-didnt-praise-trump-breitbart-interv/,Bloggers," May 31, 2019 "," May 12, 2023",FALSE
245,246,"Says Attorney General William Barr didn’t cite the ""rule of law?in explaining his decision in the Michael Flynn case during a CBS News interview.",https://www.politifact.com/factchecks/2023/may/11/chuck-todd/nbcs-chuck-todd-meet-press-leave-out-key-context-s/,Chuck Todd," May 10, 2023 "," May 11, 2023",FALSE
248,249,Illinois “got into fiscal problems because of a Republican governor who was governor there?before Gov. J.B. Pritzker.,https://www.politifact.com/factchecks/2023/may/08/nancy-pelosi/pelosi-exaggerates-former-republican-governors-rol/,Nancy Pelosi," May 4, 2023 i"," May 8, 2023",barely-true
249,250,Black cats in Vietnam are being killed and consumed as a COVID-19 cure.,https://www.politifact.com/factchecks/2023/may/08/south-west-news-service/Evidence-lacking-that-cats-eaten-as-COVID-19-cure/,South West News Service," April 24, 202"," May 8, 2023",FALSE
251,252,Central Park hospital tents housed thousands of abused children released from underground captivity.,https://www.politifact.com/factchecks/2023/may/08/facebook-posts/central-park-field-hospital-treated-coronavirus-pa/,Facebook posts," May 3, 2023 i"," May 8, 2023",pants-fire
253,254,Says Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,https://www.politifact.com/factchecks/2023/may/08/blog-posting/mike-pence-didnt-pretend-carry-empty-boxes-ppe-cli/,Bloggers," May 8, 2023 i"," May 8, 2023",FALSE
254,255,A photo shows Brian Kemp posing with Gregory McMichael.,https://www.politifact.com/factchecks/2023/may/08/viral-image/no-isnt-photo-brian-kemp-and-gregory-mcmichael/,Viral image," May 6, 2023 i"," May 8, 2023",FALSE
255,256,“Texas ranks 3rd highest among states for the number of people who have recovered from?the coronavirus.,https://www.politifact.com/factchecks/2023/may/08/greg-abbott/recovery-data-coronavirus-lacking/,Greg Abbott," May 3, 2023 i"," May 8, 2023",half-true
259,260,Says it’s illegal to hold an absentee-only election or mail ballots to every registered voter,https://www.politifact.com/factchecks/2023/may/08/chris-kapanga/yes-its-illegal-hold-election-mail-wisconsin/,Chris Kapenga," April 6, 2023"," May 8, 2023",TRUE
264,265,"Media outlets reported that the same boy died 3 times from the coronavirus, in 3 countries.",https://www.politifact.com/factchecks/2023/may/07/facebook-posts/news-outlets-did-not-use-photo-same-boy-report-3-c/,Facebook posts," April 14, 202"," May 7, 2023",pants-fire
265,266,A photo shows Rob Cantrall at a recent Michigan protest.,https://www.politifact.com/factchecks/2023/may/07/viral-image/michigan-protest-photo-shows-brian-cash-not-rob-ca/,Viral image," May 4, 2023 i"," May 7, 2023",FALSE
266,267,"Gas is under $1 in 13 states, but $2.27 in Pennsylvania, because of the governor.",https://www.politifact.com/factchecks/2023/may/07/facebook-posts/cant-blame-governor-high-pennsylvania-gas-prices/,Facebook posts," May 2, 2023 i"," May 7, 2023",barely-true
267,268,"""Trump bailed out Wall Street, but not Main Street.""",https://www.politifact.com/factchecks/2023/may/07/lincoln-project/mourning-america-ad-critical-trump-misleads-bailou/,Lincoln Project," May 5, 2023 i"," May 7, 2023",FALSE
268,269,"Prominent Democrats were born in April 1948, ""nine months after"" a UFO crashed near Roswell, N.M.",https://www.politifact.com/factchecks/2023/may/07/facebook-posts/roswell-post-fudges-facts-democrats-birthdays/,Facebook posts," April 17, 201"," May 7, 2023",FALSE
270,271,"""We’ve still had more deaths to the flu this year than we've had COVID-19.""",https://www.politifact.com/factchecks/2023/may/06/dan-forest/no-flu-hasnt-killed-more-people-coronavirus/,Dan Forest," April 24, 202"," May 6, 2023",FALSE
271,272,"""There was no real scientific basis for believing that"" social distancing would be necessary, ""since it had never been studied.""",https://www.politifact.com/factchecks/2023/may/06/laura-ingraham/laura-ingraham-wrong-about-no-real-scientific-basi/,Laura Ingraham," May 4, 2023 i"," May 6, 2023",FALSE
281,282,"Wisconsin has “no tracing program going on that we can speak of.""",https://www.politifact.com/factchecks/2023/may/04/scott-fitzgerald/scott-fitzgerald-says-wisconsin-has-no-contact-tra/,Scott Fitzgerald," April 26, 202"," May 4, 2023",barely-true
283,284,A photo shows a “Center for Global Population Reduction?at the Bill & Melinda Gates Foundation headquarters.,https://www.politifact.com/factchecks/2023/may/04/viral-image/photo-gates-foundation-has-been-altered/,Viral image," April 28, 202"," May 4, 2023",FALSE
286,287,“This is Tara Reade?in a photo with Joe Biden.,https://www.politifact.com/factchecks/2023/may/04/viral-image/no-isnt-photo-joe-biden-and-tara-reade/,Viral image," May 1, 2023 i"," May 4, 2023",FALSE
289,290,"""Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China? Such grants were prohibited in 2023. Did Pres. Obama grant an exception?""",https://www.politifact.com/factchecks/2023/may/01/rudy-giuliani/rudy-giuliani-wrong-about-us-policy-grant-amount-w/,Rudy Giuliani," April 26, 202"," May 1, 2023",FALSE
290,291,Homeless people are immune to COVID-19,https://www.politifact.com/factchecks/2023/may/01/facebook-posts/no-homeless-people-are-not-immune-catching-covid-1/,Facebook posts," April 21, 202"," May 1, 2023",pants-fire
291,292,Says President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.,https://www.politifact.com/factchecks/2023/may/01/facebook-posts/gift-shop-selling-covid-19-coins-not-white-house/,Facebook posts," April 29, 202"," May 1, 2023",FALSE
293,294,"Says Wisconsin measures have ""prevented the death of at least 300 Wisconsinites, and perhaps as many as 1,400 lives.""",https://www.politifact.com/factchecks/2023/may/01/tony-evers/has-safer-home-wisconsin-saved-300-lives/,Tony Evers," April 21, 202"," May 1, 2023",mostly-true
294,295,The existence of a canine coronavirus vaccine casts doubt on statements that there isn’t one for humans.,https://www.politifact.com/factchecks/2023/may/01/facebook-posts/canine-coronavirus-vaccine-exists-its-dogs-and-has/,Facebook posts," April 22, 202"," May 1, 2023",FALSE
296,297,The CDC recommends that only people with COVID-19 symptoms should wear masks.,https://www.politifact.com/factchecks/2023/may/01/facebook-posts/fight-COVID-CDC-now-says-wear-masks-in-public/,Facebook posts," April 27, 202"," May 1, 2023",FALSE
298,299,Says a video shows Joe Biden lolling his tongue.,https://www.politifact.com/factchecks/2023/apr/30/facebook-posts/how-parody-gif-biden-lolling-his-tongue-became-man/,Facebook posts," April 28, 202"," April 30, 2023",pants-fire
300,301,"Says that under the law, New York City Mayor Bill de Blasio “can’t open?the city’s schools.",https://www.politifact.com/factchecks/2023/apr/30/andrew-cuomo/both-cuomo-de-blasio-can-exercise-power-close-nyc-/,Andrew Cuomo," April 11, 202"," April 30, 2023",half-true
310,311,"Dr. Anthony “Fauci told us there’s nothing to worry about. That’s his quote, ‘There’s nothing to worry about.’”",https://www.politifact.com/factchecks/2023/apr/29/steve-bannon/did-fauci-tell-us-not-worry-about-coronavirus/,Steve Bannon," April 14, 202"," April 29, 2023",half-true
313,314,"“Sweden has zero lockdown?and “is in no worse shape than Denmark or Norway,?which are in lockdown.",https://www.politifact.com/factchecks/2023/apr/28/facebook-posts/sweden-mostly-open-has-higher-covid-19-death-rate-/,Facebook posts," April 19, 202"," April 28, 2023",barely-true
